date,sltb,sltb_dh_all,sltb_mua_all,sltb_dh_098,sltb_mua_098,sltb_mua_191_098,sltb_mua_myviettel_098,sltb_dh_101,sltb_mua_101,sltb_mua_191_101,sltb_mua_myviettel_101,sltb_dh_102
4/24/2026,229528,9563,2199,7097,1966,1884,82,2377,262,251,11,863
4/25/2026,229528,16839,4255,12199,3819,3658,161,4460,524,501,23,2130
4/26/2026,229528,22973,5720,16319,5136,4929,207,6466,753,724,29,3272
